换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
2.02%,31.88亿,2.07%,34.42万手,30.07万手,3.09,8.45亿,560.11亿,-44.76%,"
                        11.75",13.05,东方财富,12.99,4.22,13.26,13.02,42.89亿,416.38亿,14.36,91.80,64.49万手,0.11,1.50
--,1357.72万,--,--,--,4.81,--,10.42亿,--,"
                        17.26",19.18,百华悦邦,--,3.99,--,--,5430.87万,2.60亿,21.10,23.87,--,0.80,--
0.08%,8868.00万,--,670手,--,2.82,141.23万,74.73亿,100.00%,"
                        17.23",19.15,光弘科技,21.07,7.48,21.07,21.07,3.55亿,18.68亿,21.07,39.81,670手,0.53,--
28.74%,1800.00万,7.31%,2.28万手,2.89万手,13.66,4.30亿,60.30亿,12.37%,"
                        72.28",80.31,设研院,80.00,6.13,85.87,80.00,7200.00万,15.08亿,88.34,37.40,5.17万手,2.24,--
29.36%,2200.00万,5.21%,3.26万手,3.20万手,3.17,2.35亿,31.47亿,-66.97%,"
                        32.31",35.90,科创新源,35.28,11.38,37.15,35.28,8721.74万,7.94亿,39.49,47.20,6.46万手,0.51,--
38.03%,2324.00万,8.07%,5.93万手,2.91万手,2.51,4.01亿,42.93亿,100.00%,"
                        37.79",41.99,科创信息,42.80,18.38,46.19,42.88,9294.60万,10.73亿,46.19,929.00,8.84万手,0.05,--
22.71%,2150.00万,5.48%,2.94万手,1.94万手,5.88,1.63亿,28.18亿,-39.48%,"
                        30.74",34.15,乐歌股份,32.73,5.58,34.60,34.36,8600.00万,7.05亿,37.57,48.03,4.88万手,0.68,--
--,--,--,--,--,--,--,--,--,"
                        --",--,天常股份,--,--,--,--,--,--,--,--,--,--,--
35.96%,2440.00万,4.11%,3.94万手,4.84万手,3.83,2.76亿,30.83亿,-64.84%,"
                        27.83",30.92,润禾材料,30.88,8.25,32.15,31.09,9760.00万,7.71亿,34.01,66.73,8.77万手,0.47,--
23.25%,4010.00万,3.90%,5.27万手,4.05万手,2.53,2.77亿,119.47亿,-19.12%,"
                        27.23",30.26,宏达电子,29.26,11.80,30.44,29.72,4.00亿,11.97亿,33.29,61.14,9.32万手,0.41,--
22.21%,1833.33万,9.11%,1.93万手,2.14万手,5.42,4.99亿,90.85亿,-55.67%,"
                        107.35",119.28,药石科技,116.08,22.86,126.95,116.87,7333.33万,22.71亿,131.21,129.44,4.07万手,0.96,--
13.20%,4000.00万,3.61%,3.05万手,2.23万手,3.69,1.87亿,56.30亿,-50.64%,"
                        32.16",35.73,一品红,34.70,9.54,35.99,35.70,1.60亿,14.08亿,39.30,38.36,5.28万手,0.92,--
14.64%,2005.00万,3.86%,1.67万手,1.27万手,8.98,1.13亿,30.71亿,-42.32%,"
                        34.96",38.84,怡达股份,38.00,4.27,39.50,38.88,8015.00万,7.68亿,42.72,46.67,2.94万手,0.82,--
8.73%,1800.00万,2.62%,9734手,5977手,4.41,4819.10万,22.05亿,13.54%,"
                        27.81",30.90,海川智能,30.31,6.95,31.12,30.86,7200.00万,5.51亿,33.99,70.16,1.57万手,0.44,--
8.39%,4200.00万,2.82%,2.24万手,1.28万手,3.23,8944.43万,42.42亿,63.26%,"
                        23.27",25.85,安达维尔,25.11,7.82,25.84,25.60,1.68亿,10.60亿,28.44,414.57,3.52万手,0.06,--
6.09%,2500.00万,1.68%,9178手,6044手,7.55,5953.49万,38.96亿,-68.04%,"
                        35.25",39.17,长盛轴承,38.82,5.16,39.48,39.10,10000.00万,9.74亿,43.09,31.41,1.52万手,1.24,--
7.47%,1600.00万,2.41%,6831手,5116手,6.15,4237.88万,22.60亿,31.14%,"
                        32.16",35.73,华信新材,35.13,5.74,35.99,35.73,6400.00万,5.65亿,39.30,51.57,1.19万手,0.68,--
12.49%,2668.00万,3.46%,1.71万手,1.62万手,6.09,8535.46万,27.42亿,35.24%,"
                        23.41",26.01,国立科技,25.26,4.22,26.16,25.65,1.07亿,6.86亿,28.61,53.89,3.33万手,0.48,--
7.48%,1062.50万,2.57%,4500手,3444手,7.20,6657.00万,44.28亿,57.55%,"
                        75.74",84.16,英可瑞,83.03,11.57,85.19,83.75,5312.50万,8.86亿,92.58,51.51,7945手,1.52,--
6.53%,3502.00万,2.33%,1.32万手,9655手,4.54,5448.65万,33.20亿,18.72%,"
                        21.67",24.08,永福股份,23.61,5.22,24.17,24.08,1.40亿,8.30亿,26.49,43.38,2.29万手,0.55,--
8.79%,1750.00万,3.10%,9530手,5853手,6.61,6488.36万,28.56亿,-38.41%,"
                        38.34",42.60,万隆光电,41.61,6.30,42.93,42.75,6861.40万,7.28亿,46.86,50.41,1.54万手,0.83,--
4.76%,2200.00万,3.18%,6663手,3805手,7.12,7513.64万,62.40亿,-67.72%,"
                        65.47",72.75,精研科技,70.91,9.96,73.22,72.58,8800.00万,15.60亿,80.03,39.79,1.05万手,1.78,--
24.01%,6433.00万,3.19%,8.53万手,6.92万手,2.85,4.64亿,77.30亿,62.61%,"
                        27.89",30.99,聚灿光电,29.62,10.54,30.61,30.35,2.57亿,19.32亿,34.09,62.47,15.45万手,0.48,--
5.58%,1965.00万,1.82%,6698手,4260手,7.22,5140.78万,36.72亿,42.22%,"
                        42.57",47.30,威唐工业,46.52,6.47,47.38,46.88,7860.00万,9.18亿,52.03,38.20,1.10万手,0.92,--
21.46%,1960.00万,6.22%,2.31万手,1.90万手,5.12,3.69亿,66.88亿,-29.05%,"
                        79.99",88.88,阿石创,85.30,16.65,90.83,87.41,7840.00万,16.72亿,97.77,144.48,4.21万手,0.44,--
16.92%,2934.00万,10.75%,2.38万手,2.58万手,5.44,1.38亿,33.02亿,31.51%,"
                        23.94",26.60,九典制药,26.40,5.18,29.26,26.45,1.17亿,8.26亿,29.26,53.43,4.96万手,0.40,--
2.65%,2000.00万,1.54%,3493手,1810手,7.03,1718.71万,25.85亿,29.36%,"
                        29.16",32.40,创源文化,32.18,4.60,32.68,32.50,8000.00万,6.46亿,35.64,49.04,5303手,0.49,--
2.66%,3000.00万,1.57%,4235手,3747手,10.78,3195.93万,48.20亿,-16.42%,"
                        36.08",40.09,天宇股份,39.77,3.73,40.40,39.77,1.20亿,12.05亿,44.10,34.07,7982手,0.88,--
5.36%,2000.00万,3.77%,6482手,4233手,5.25,3958.60万,29.01亿,-71.56%,"
                        33.39",37.10,森霸股份,36.26,6.91,37.66,37.01,8000.00万,7.25亿,40.81,50.66,1.07万手,0.54,--
5.63%,9200.00万,3.57%,2.76万手,2.42万手,6.96,3.53亿,246.12亿,-92.78%,"
                        61.44",68.27,光威复材,66.88,9.61,69.32,68.27,3.68亿,61.53亿,75.10,88.86,5.18万手,0.56,--
11.49%,3350.00万,5.79%,2.20万手,1.65万手,2.85,9905.65万,33.92亿,-18.52%,"
                        23.77",26.41,万马科技,25.12,8.87,26.65,26.31,1.34亿,8.48亿,29.05,84.37,3.85万手,0.22,--
15.86%,4000.00万,3.52%,3.64万手,2.70万手,4.37,1.58亿,39.36亿,31.27%,"
                        23.02",25.58,电工合金,24.50,5.64,25.40,25.30,1.60亿,9.84亿,28.14,63.20,6.34万手,0.29,--
3.81%,1725.00万,1.79%,3638手,2939手,9.61,4749.84万,49.61亿,-19.12%,"
                        64.69",71.88,爱乐达,71.51,7.49,72.80,71.80,6895.00万,12.41亿,79.07,97.66,6578手,0.55,--
2.77%,1667.77万,1.32%,2710手,1904手,23.17,4128.32万,59.40亿,87.50%,"
                        80.64",89.60,兆丰股份,89.00,3.84,90.18,89.89,6667.77万,14.86亿,98.56,36.47,4615手,1.83,--
11.60%,2281.00万,9.34%,1.28万手,1.36万手,6.33,9407.39万,32.63亿,-71.08%,"
                        30.54",33.93,盛弘股份,33.83,5.65,37.00,34.02,9123.36万,8.16亿,37.32,60.95,2.65万手,0.44,--
9.66%,2667.00万,3.19%,1.35万手,1.22万手,6.39,1.09亿,44.96亿,72.11%,"
                        38.39",42.65,中环环保,41.82,6.60,43.18,42.65,1.07亿,11.24亿,46.92,97.92,2.58万手,0.32,--
4.09%,2140.00万,3.12%,4957手,3803手,8.85,6990.66万,67.76亿,7.42%,"
                        72.41",80.45,联合光电,78.83,8.95,81.34,80.18,8555.00万,16.95亿,88.49,73.13,8761手,0.81,--
3.62%,1734.00万,1.48%,3190手,3078手,13.19,3566.43万,39.60亿,-42.86%,"
                        51.14",56.82,双一科技,56.44,4.33,57.28,56.56,6934.00万,9.90亿,62.50,32.18,6269手,1.33,--
5.05%,1700.00万,2.62%,5078手,3512手,7.74,3684.44万,28.93亿,46.15%,"
                        38.52",42.80,澄天伟业,42.43,5.50,43.55,42.60,6800.00万,7.23亿,47.08,53.03,8591手,0.60,--
6.99%,1700.00万,3.59%,6860手,5019手,5.14,6388.10万,36.33亿,-21.92%,"
                        48.95",54.39,创业黑马,53.03,10.39,54.98,54.43,6800.00万,9.08亿,59.83,126.05,1.19万手,0.32,--
3.23%,2000.00万,1.48%,3186手,3269手,9.13,3037.59万,37.74亿,60.14%,"
                        42.44",47.15,赛意信息,46.70,5.17,47.40,47.29,8000.00万,9.44亿,51.87,42.72,6455手,0.83,--
4.17%,3130.00万,3.22%,7918手,5133手,4.82,2889.77万,27.39亿,-17.36%,"
                        20.12",22.36,智动力,21.86,4.54,22.58,22.26,1.25亿,6.85亿,24.60,85.33,1.31万手,0.19,--
3.29%,2000.00万,2.52%,3863手,2723手,7.79,5923.95万,71.86亿,-31.25%,"
                        82.15",91.28,艾德生物,89.30,11.53,91.60,90.62,8000.00万,17.96亿,100.41,79.41,6587手,0.85,--
0.06%,2172.00万,--,120手,--,5.45,24.51万,17.73亿,100.00%,"
                        16.70",18.55,中石科技,20.41,3.74,20.41,20.41,8687.00万,4.43亿,20.40,44.75,120手,0.46,--
4.52%,2583.88万,2.74%,4966手,6702手,15.52,6418.45万,57.40亿,38.78%,"
                        48.95",54.39,海特生物,54.07,3.58,55.56,54.15,1.03亿,14.35亿,59.83,39.62,1.17万手,1.05,--
2.37%,4500.00万,2.29%,6301手,4376手,2.45,1934.35万,75.48亿,36.59%,"
                        16.15",17.94,朗新科技,17.92,7.39,18.33,18.05,4.17亿,8.15亿,19.73,--,1.07万手,-0.04,--
3.03%,1890.00万,2.10%,3354手,2367手,8.09,2951.78万,38.75亿,65.22%,"
                        46.76",51.95,英搏尔,51.20,6.33,52.29,52.15,7560.00万,9.69亿,57.15,54.40,5721手,0.71,--
--,1700.00万,--,--,--,4.92,--,24.93亿,--,"
                        32.99",36.66,隆盛科技,--,7.45,--,--,6800.00万,6.23亿,40.33,137.68,--,0.20,--
3.15%,3000.00万,1.29%,5927手,3523手,25.18,8669.15万,109.62亿,17.61%,"
                        83.34",92.60,电连技术,91.30,3.63,92.49,92.48,1.20亿,27.40亿,101.86,29.90,9451手,2.29,--
18.99%,2500.00万,6.42%,2.44万手,2.31万手,4.93,2.82亿,58.79亿,39.69%,"
                        51.59",57.32,中科信息,57.32,11.92,61.00,57.49,10000.00万,14.70亿,63.05,361.27,4.75万手,0.12,--
34.49%,3666.67万,10.32%,7.75万手,4.90万手,2.63,4.60亿,54.85亿,100.00%,"
                        30.60",34.00,建科院,33.89,14.19,37.40,33.90,1.47亿,13.71亿,37.40,1261.31,12.65万手,0.02,--
1.58%,2000.00万,1.59%,2012手,1140手,10.10,1389.24万,35.08亿,18.10%,"
                        39.66",44.07,佩蒂股份,43.77,4.34,44.47,44.16,8000.00万,8.77亿,48.48,43.15,3153手,0.76,--
10.58%,2794.12万,5.25%,1.82万手,1.14万手,8.21,1.86亿,69.07亿,-40.12%,"
                        58.42",64.91,国科微,61.33,7.52,64.74,64.73,1.12亿,17.27亿,71.40,1141.26,2.96万手,0.04,--
7.38%,2535.00万,4.58%,1.17万手,6969手,4.70,7326.24万,39.12亿,-31.75%,"
                        36.17",40.19,富满电子,38.60,8.21,40.44,40.21,1.01亿,9.79亿,44.21,84.32,1.87万手,0.34,--
2.41%,2700.00万,1.35%,3606手,2909手,5.11,1445.93万,23.92亿,1.81%,"
                        20.05",22.28,大烨智能,22.08,4.33,22.38,22.35,1.08亿,5.98亿,24.51,53.93,6516手,0.31,--
2.66%,2105.00万,0.87%,3081手,2509手,5.18,1353.83万,20.42亿,-38.14%,"
                        21.76",24.18,沪宁股份,24.11,4.68,24.32,24.11,8420.00万,5.10亿,26.60,48.12,5591手,0.38,--
6.08%,1058.00万,2.15%,3471手,2958手,8.67,4628.55万,30.26亿,36.54%,"
                        64.17",71.30,杰恩设计,71.12,8.28,72.65,71.30,4216.00万,7.59亿,78.43,51.92,6430手,1.04,--
6.87%,1700.00万,3.99%,6912手,4765手,4.79,4693.05万,26.79亿,-25.08%,"
                        36.14",40.15,必创科技,39.39,8.23,40.99,40.49,6800.00万,6.70亿,44.17,212.87,1.17万手,0.14,--
5.94%,1900.00万,2.08%,6592手,4699手,5.57,3150.99万,21.11亿,-30.13%,"
                        25.09",27.88,飞鹿股份,27.68,4.99,28.26,27.80,7600.00万,5.28亿,30.67,102.95,1.13万手,0.20,--
0.04%,8000.00万,23.99%,302手,--,5.31,38.49万,61.39亿,100.00%,"
                        5.68",8.88,N鹏鹞,10.66,2.41,12.79,10.66,4.80亿,10.23亿,12.79,25.57,302手,0.30,--
6.61%,3286.00万,5.75%,9057手,1.27万手,4.38,4728.01万,28.85亿,-34.81%,"
                        18.95",21.06,科蓝软件,21.19,4.91,22.40,21.29,1.34亿,7.08亿,23.17,--,2.17万手,-0.47,--
2.37%,4500.00万,1.85%,3618手,7065手,3.37,2647.59万,44.62亿,-16.38%,"
                        21.93",24.37,科锐国际,24.50,7.35,24.95,24.73,1.80亿,11.16亿,26.81,58.89,1.07万手,0.32,--
4.48%,1490.70万,3.79%,4039手,2632手,12.08,6096.43万,55.40亿,68.80%,"
                        83.97",93.30,圣邦股份,90.00,7.53,93.54,92.90,6088.38万,13.57亿,102.63,70.15,6672手,0.99,--
1.09%,2527.00万,0.93%,1539手,1223手,19.37,1867.80万,68.23亿,-72.04%,"
                        60.72",67.47,江苏雷利,67.25,3.48,67.88,67.51,1.01亿,17.06亿,74.22,27.62,2763手,1.83,--
--,2040.00万,--,--,--,4.42,--,33.28亿,--,"
                        36.19",40.21,中孚信息,--,9.09,--,--,8277.50万,8.20亿,44.23,284.41,--,0.11,--
0.96%,2500.00万,0.67%,1160手,1247手,7.21,722.06万,29.94亿,-35.49%,"
                        26.91",29.90,延江股份,29.86,4.15,30.06,30.05,10000.00万,7.49亿,32.89,35.95,2408手,0.62,--
8.63%,2600.00万,5.66%,1.47万手,7786手,6.33,1.03亿,46.97亿,-39.67%,"
                        42.32",47.02,弘信电子,44.83,7.13,47.49,47.49,1.04亿,11.74亿,51.72,74.54,2.24万手,0.45,--
--,1500.00万,--,--,--,6.68,--,34.00亿,--,"
                        51.00",56.67,民德电子,--,8.48,--,--,6000.00万,8.50亿,62.34,97.28,--,0.44,--
3.42%,2206.25万,1.86%,5044手,2509手,4.71,2217.36万,25.82亿,28.87%,"
                        26.55",29.50,晶瑞股份,29.10,6.21,29.65,29.38,8824.99万,6.46亿,32.45,83.99,7554手,0.26,--
4.09%,2335.00万,2.60%,4342手,5196手,4.42,2927.89万,28.71亿,45.68%,"
                        27.68",30.76,世纪天鸿,30.18,6.96,30.98,30.61,9335.00万,7.18亿,33.84,114.57,9539手,0.20,--
2.20%,2000.00万,1.14%,2635手,1759手,5.75,1495.26万,27.28亿,-12.42%,"
                        30.67",34.08,正海生物,33.83,5.93,34.22,34.04,8000.00万,6.82亿,37.49,52.93,4394手,0.48,--
3.45%,2200.00万,3.33%,4035手,3547手,7.22,2123.98万,24.54亿,12.54%,"
                        25.11",27.90,雷迪克,27.80,3.86,28.73,27.80,8800.00万,6.14亿,30.69,33.86,7582手,0.62,--
1.91%,1893.34万,0.85%,2407手,1215手,7.78,1183.50万,24.87亿,86.70%,"
                        29.51",32.79,金陵体育,32.56,4.22,32.84,32.79,7573.34万,6.22亿,36.07,91.40,3622手,0.27,--
4.63%,1578.70万,2.69%,2919手,4393手,7.25,2791.60万,24.43亿,-11.58%,"
                        34.11",37.90,太龙照明,37.66,5.34,38.68,38.00,6314.80万,6.11亿,41.69,45.20,7313手,0.64,--
7.94%,3200.00万,2.06%,1.41万手,1.13万手,2.33,9612.77万,48.19亿,24.50%,"
                        34.59",38.43,杭州园林,37.51,16.18,38.30,37.80,1.28亿,12.05亿,42.27,194.39,2.54万手,0.15,--
3.08%,1700.00万,4.44%,3408手,1822手,7.35,3623.49万,46.71亿,-80.17%,"
                        63.79",70.88,星云股份,67.85,9.38,71.00,70.80,6770.00万,11.73亿,77.97,80.18,5231手,0.65,--
2.93%,3000.00万,2.11%,3898手,4885手,4.30,1718.29万,23.88亿,-7.85%,"
                        17.49",19.43,超频三,19.38,4.52,19.79,19.47,1.23亿,5.83亿,21.37,63.96,8784手,0.23,--
--,--,--,--,--,--,--,--,--,"
                        --",--,侨源气体,--,--,--,--,--,--,--,--,--,--,--
13.29%,1666.67万,5.62%,1.11万手,1.10万手,7.56,9148.35万,27.25亿,51.00%,"
                        36.16",40.18,正元智慧,40.09,5.41,42.35,40.09,6666.67万,6.81亿,44.20,1072.99,2.21万手,0.03,--
2.68%,5000.00万,1.67%,7781手,5630手,2.03,1759.73万,26.10亿,6.31%,"
                        11.84",13.16,万通智控,13.02,6.41,13.24,13.24,2.00亿,6.53亿,14.48,66.75,1.34万手,0.15,--
5.00%,1500.00万,2.36%,3821手,3681手,14.11,6841.26万,54.85亿,59.68%,"
                        80.75",89.72,透景生命,89.73,6.48,91.85,89.73,6000.00万,13.71亿,98.69,53.17,7502手,1.29,--
1.34%,7200.00万,1.14%,5892手,3720手,4.51,1431.86万,42.83亿,38.31%,"
                        13.46",14.96,正丹股份,14.84,3.30,15.01,14.96,2.88亿,10.71亿,16.46,33.20,9612手,0.34,--
1.71%,2000.00万,1.29%,2006手,1410手,3.48,873.60万,20.48亿,-56.18%,"
                        23.04",25.60,德艺文创,25.45,7.36,25.78,25.60,8000.00万,5.12亿,28.16,52.30,3416手,0.37,--
15.25%,2244.90万,3.20%,1.83万手,1.59万手,10.21,2.27亿,60.37亿,-83.42%,"
                        59.58",66.20,凯普生物,65.32,6.50,67.44,66.86,9101.70万,14.89亿,72.82,69.47,3.42万手,0.72,--
9.37%,2000.00万,3.32%,1.09万手,7866手,4.37,8215.46万,34.83亿,30.39%,"
                        39.83",44.25,广和通,43.21,9.96,44.68,44.10,8000.00万,8.71亿,48.68,103.97,1.87万手,0.31,--
1.45%,3000.00万,1.33%,1953手,2383手,4.48,915.72万,25.97亿,-16.27%,"
                        18.99",21.10,扬帆新材,20.93,4.71,21.21,21.10,1.23亿,6.32亿,23.21,40.62,4337手,0.40,--
3.64%,2000.00万,1.71%,2923手,4349手,7.63,2211.13万,24.84亿,3.41%,"
                        27.32",30.36,同和药业,30.17,4.01,30.69,30.60,8129.80万,6.11亿,33.40,36.13,7273手,0.63,--
3.77%,3392.00万,2.55%,6211手,6577手,4.31,2519.46万,26.69亿,-47.81%,"
                        17.61",19.57,达安股份,19.41,4.56,19.91,19.41,1.36亿,6.67亿,21.53,49.39,1.28万手,0.33,--
2.49%,4001.00万,3.48%,6160手,3792手,2.46,2758.37万,109.44亿,47.26%,"
                        25.08",27.87,开立医疗,27.00,11.11,27.97,27.96,4.00亿,10.95亿,30.66,71.47,9953手,0.29,--
